Index,Accel X (LSB),Accel Y (LSB),Accel Z (LSB),Gyro X (LSB),Gyro Y (LSB),Gyro Z (LSB),Compass X (LSB),Compass Y (LSB),Compass Z (LSB),Temperature,
14932,-7468,320,14940,-286,2983,-13276,-45,202,290,32,09258,
14933,-2228,2392,14460,3696,1448,-8558,-45,202,290,32,04466,
14934,-1076,-1284,17312,-2059,3278,-6187,-43,199,292,32,09258,
14935,1344,-2908,18360,-3074,72,-2751,-36,179,286,32,04466,
14936,-2412,-1560,16148,-2209,-275,-2876,-30,183,287,31,75712,
14937,-912,-720,15108,-1709,270,-4518,-30,183,287,31,94881,
14938,416,-808,15640,328,1512,-729,-30,183,287,32,09258,
14939,-460,-2196,16640,112,362,-580,-28,175,290,32,04466,
14940,-944,-3132,17104,-1842,1703,336,-33,181,290,32,1405,
14941,-1124,-1160,15416,-470,289,116,-33,181,290,31,94881,
14942,-1676,-2768,15840,-835,460,-1286,-33,170,282,32,04466,
14943,-304,-2240,16332,-107,728,258,-33,170,282,32,1405,
14944,-1796,-1868,16252,-163,651,309,-31,174,286,32,1405,
14945,-860,-2648,16744,-995,395,316,-26,177,291,31,94881,
14946,-436,-2160,16280,-923,-562,-26,-28,175,280,32,09258,
14947,-2116,-2940,16256,-632,680,-176,-31,179,291,31,94881,
14948,-356,-2396,16484,-214,-496,258,-31,179,291,32,04466,
14949,-1516,-2344,16268,-88,-874,-44,-26,177,291,31,94881,
14950,-504,-2832,16656,-486,254,1008,-40,173,282,31,85297,
14951,-1776,-1996,15920,24,-259,287,-30,165,290,32,1405,
14952,-1036,-2660,16216,-180,291,1458,-30,165,290,31,94881,
14953,-864,-2628,16344,213,-877,551,-22,173,280,32,1405,
14954,-1436,-2796,16296,-589,142,1536,-22,173,280,32,09258,
14955,-1620,-1888,15892,50,-299,1508,-30,181,282,32,1405,
14956,-2244,-3260,15992,-354,480,906,-28,168,272,31,94881,
14957,-952,-2672,16072,247,-72,711,-28,168,272,31,94881,
14958,-836,-3264,16488,-234,-188,650,-28,168,272,31,75712,
14959,-812,-3328,16392,-499,168,846,-39,164,271,31,75712,
14960,-1068,-2744,15912,-327,-547,128,-19,177,278,31,94881,
14961,-1544,-2404,15520,-506,600,959,-35,170,282,32,04466,
14962,-256,-2636,16032,30,210,1378,-35,170,282,32,04466,
14963,-1952,-3160,16500,-480,257,937,-26,171,278,32,28427,
14964,-1376,-2832,16364,218,243,591,-25,160,280,31,94881,
14965,-2048,-3424,16480,80,268,-249,-29,164,278,32,04466,
14966,-1236,-2916,16476,-89,277,711,-29,164,278,31,94881,
14967,-1180,-2960,16256,85,-547,145,-29,164,278,32,09258,
14968,-1348,-3004,16296,143,-199,215,-24,161,271,31,94881,
14969,-1176,-3276,16480,-151,-457,-241,-30,170,272,31,85297,
14970,-1196,-2600,16020,-25,-63,494,-30,170,272,32,1405,
14971,-1272,-2816,16020,179,-89,611,-21,161,278,31,90089,
14972,-1388,-3068,16120,-74,82,891,-21,161,278,32,1405,
14973,-1176,-2768,15976,391,-87,739,-26,171,276,32,09258,
14974,-1460,-3112,16420,-289,-34,746,-26,171,276,32,09258,
14975,-1300,-2600,16176,-55,203,1069,-25,170,277,32,09258,
14976,-1520,-2872,16264,34,-233,436,-17,178,267,32,1405,
14977,-1336,-2548,16132,149,273,1371,-17,178,267,32,09258,
14978,-1808,-2268,16268,274,179,1457,-16,171,283,32,04466,
14979,-2728,-2280,16528,-767,898,2603,-25,178,277,31,75712,
14980,-3492,544,16688,-421,28,5181,-22,168,275,32,04466,
14981,-5688,2600,16768,-1488,1338,9000,-19,161,276,32,09258,
14982,-7684,4900,16964,-1638,561,10091,-19,161,276,31,94881,
14983,-6608,3608,16440,-1425,314,18000,-19,161,276,31,90089,
14984,-4012,2816,15176,1929,-2774,20610,-11,150,278,32,1405,
14985,-6676,-4296,13732,-138,2917,16311,-1,158,278,32,09258,
14986,1716,-4528,11944,3176,-397,17634,-1,158,278,32,1405,
14987,-2152,-13568,17640,-554,-5021,14153,-1,158,278,31,94881,
14988,-1668,-9124,16712,-499,-2670,14343,0,181,307,32,09258,
14989,-148,-2816,15240,2023,-4416,12358,-6,182,301,32,09258,
14990,-4052,-7008,19432,-3479,-2922,5232,-17,194,310,32,09258,
14991,-276,-2476,15168,1254,1604,1960,-17,194,310,31,75712,
14992,-2696,-1996,16688,149,-243,1816,-26,190,316,32,04466,
14993,-1660,-1672,17328,153,489,482,-16,192,323,31,85297,
14994,-1560,-1628,16608,100,-594,-169,-6,195,318,31,85297,
14995,-2716,-196,16500,-20,1504,501,-6,195,318,32,04466,
14996,-1216,-48,16156,1021,-583,-223,-6,195,318,32,04466,
14997,-2812,-948,16420,523,9,-47,-11,190,306,32,04466,
14998,-1836,-1548,16460,469,1168,552,-17,202,315,32,04466,
14999,-3064,-704,16452,78,1485,723,-17,202,315,32,04466,
15000,-2640,-616,15964,-329,1072,1586,-12,196,315,32,1405,
15001,-1544,-664,15928,-386,-718,-535,-12,196,315,31,94881,
15002,-2128,-344,16216,388,280,977,-5,189,305,31,90089,
15003,-2060,-836,16016,382,-284,431,-5,189,305,32,04466,
15004,-2176,-824,16516,418,-188,293,-10,194,312,32,04466,
15005,-2504,-1096,16144,368,146,1203,-7,194,307,31,94881,
15006,-2892,-1296,16688,194,43,-81,-7,194,307,32,04466,
15007,-2644,-876,16104,571,381,299,-12,199,312,31,94881,
15008,-2380,-812,16292,-79,407,127,-6,208,313,32,28427,
15009,-2328,-988,16612,31,-118,-204,-16,187,313,31,94881,
15010,-2308,-1024,16308,90,-8,-14,-10,202,315,32,04466,
15011,-2460,-408,16192,-74,10,-141,-10,202,315,32,04466,
15012,-2060,-408,16104,422,-118,203,-10,202,315,31,94881,
15013,-2192,-968,16316,-4,90,216,-6,203,308,32,04466,
